refset;algorithm;variation;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
Teslovich;LR;normal;100;22,0;22,0;61,90637720488466;0,5507742257742257;8,0;16,0;20,0;22,0;2,727272727272727;2,0;69,60651289009499;0,6103896103896104;9,0;18,0;22,0;22,0;2,227272727272727;2,0
Teslovich;LR;normal;500;60,0;63,0;64,32265790211214;0,5498584512049902;14,0;28,0;37,0;51,0;6,349206349206349;4,0;70,06512006512008;0,6268232137765218;16,0;30,0;41,0;57,0;5,412698412698413;4,0
Teslovich;LR;normal;1000;76,0;79,0;63,77820191944108;0,5263300218702672;8,0;22,0;39,0;52,0;10,746835443037975;6,0;75,24988079494031;0,6756923360016793;16,0;31,0;46,0;68,0;6,8734177215189876;5,0
Teslovich;LR;normal;2000;89,0;92,0;64,05495169082126;0,5225407062059428;3,0;13,0;29,0;48,0;17,956521739130434;9,0;79,62517852147411;0,7313047649761485;16,0;33,0;48,0;72,0;9,445652173913043;5,0
Teslovich;LR;graphlet;100;22,0;22,0;70,25101763907735;0,6706543456543457;12,0;17,0;19,0;22,0;2,5454545454545454;1,0;70,01356852103122;0,6276723276723276;10,0;18,0;21,0;22,0;2,272727272727273;2,0
Teslovich;LR;graphlet;500;60,0;63,0;66,33672195469948;0,5784150960851646;16,0;30,0;39,0;51,0;6,095238095238095;4,0;70,5090048840049;0,6330269174802255;17,0;30,0;41,0;57,0;5,365079365079365;4,0
Teslovich;LR;graphlet;1000;76,0;79,0;63,77820191944108;0,5263300218702672;8,0;22,0;39,0;52,0;10,746835443037975;6,0;75,24988079494031;0,6756923360016793;16,0;31,0;46,0;68,0;6,8734177215189876;5,0
Teslovich;LR;graphlet;2000;89,0;92,0;64,05495169082126;0,5225407062059428;3,0;13,0;29,0;48,0;17,956521739130434;9,0;79,62517852147411;0,7313047649761485;16,0;33,0;48,0;72,0;9,445652173913043;5,0
Teslovich;LR;autoencode;100;22,0;22,0;68,72455902306649;0,6023476523476524;10,0;17,0;21,0;22,0;2,3636363636363638;2,0;70,08141112618725;0,6038961038961038;11,0;17,0;21,0;22,0;2,3181818181818183;1,5
Teslovich;LR;autoencode;500;60,0;63,0;64,16723992967974;0,5387380808346198;11,0;29,0;38,0;51,0;6,380952380952381;4,0;66,58272283272284;0,5943546166770022;12,0;27,0;36,0;56,0;5,888888888888889;4,0
Teslovich;LR;autoencode;1000;76,0;79,0;63,50451050650916;0,5237911225386047;6,0;22,0;39,0;52,0;10,79746835443038;6,0;72,92605687655754;0,6512839831025684;12,0;28,0;41,0;66,0;7,3924050632911396;5,0
Teslovich;LR;autoencode;2000;89,0;92,0;64,0223650877813;0,5235364896201563;4,0;11,0;29,0;48,0;17,967391304347824;9,0;78,93152137104492;0,726197932187743;14,0;31,0;45,0;71,0;9,706521739130435;6,0
Teslovich;LR;combi;100;22,0;22,0;68,3853459972863;0,6566933066933068;11,0;17,0;19,0;22,0;2,590909090909091;1,5;73,54138398914519;0,7158091908091908;11,0;18,0;21,0;22,0;2,1363636363636362;1,5
Teslovich;LR;combi;500;60,0;63,0;63,991439272338155;0,5391525545188304;13,0;28,0;37,0;50,0;6,412698412698413;4,0;68,32773707773708;0,6029820143306989;13,0;31,0;37,0;57,0;5,634920634920635;4,0
Teslovich;LR;combi;1000;76,0;79,0;63,32625096782325;0,5265891644197448;7,0;20,0;39,0;52,0;10,835443037974683;6,0;72,79245724361917;0,6483591581348648;12,0;27,0;41,0;66,0;7,455696202531645;5,0
Teslovich;LR;combi;2000;89,0;92,0;63,98977848474136;0,5231960061336054;4,0;11,0;29,0;48,0;17,97826086956522;9,0;78,82183188798422;0,7252332347609798;15,0;30,0;44,0;71,0;9,771739130434783;6,0
Teslovich;SVM;normal;100;22,0;22,0;63,50067842605156;0,49940059940059933;7,0;17,0;20,0;22,0;2,727272727272727;2,0;62,65264586160109;0,46548451548451547;8,0;17,0;20,0;22,0;2,6363636363636362;2,5
Teslovich;SVM;normal;500;60,0;63,0;56,09569670564856;0,3756566146717756;7,0;19,0;28,0;49,0;7,492063492063492;6,0;58,06623931623931;0,4180185923726482;5,0;17,0;30,0;53,0;7,031746031746032;6,0
